ts_data_id,ts_id,dttime,data,version_id
44472896,27904,2025-04-01 00:00:00,0.0,130
44472897,27904,2025-05-01 00:00:00,0.0,130
44472820,27904,2018-12-01 00:00:00,817.4324,130
44472821,27904,2019-01-01 00:00:00,820.5153,130
44472822,27904,2019-02-01 00:00:00,823.6067,130
44472823,27904,2019-03-01 00:00:00,826.5983,130
44472824,27904,2019-04-01 00:00:00,829.7935,130
44472825,27904,2019-05-01 00:00:00,832.9351,130
44472826,27904,2019-06-01 00:00:00,835.9233,130
44472827,27904,2019-07-01 00:00:00,838.9277,130
44472828,27904,2019-08-01 00:00:00,842.0225,130
44472829,27904,2019-09-01 00:00:00,845.1281,130
44472830,27904,2019-10-01 00:00:00,848.2597,130
44472831,27904,2019-11-01 00:00:00,851.3545,130
44472832,27904,2019-12-01 00:00:00,854.2898,130
44472833,27904,2020-01-01 00:00:00,843.7909,130
44472834,27904,2020-02-01 00:00:00,833.1596,130
44472835,27904,2020-03-01 00:00:00,822.6065,130
44472836,27904,2020-04-01 00:00:00,811.9608,130
44472837,27904,2020-05-01 00:00:00,801.4425,130
44472838,27904,2020-06-01 00:00:00,790.9476,130
44472839,27904,2020-07-01 00:00:00,780.3135,130
44472840,27904,2020-08-01 00:00:00,769.7433,130
44472841,27904,2020-09-01 00:00:00,759.1401,130
44472842,27904,2020-10-01 00:00:00,748.5698,130
44472843,27904,2020-11-01 00:00:00,737.9766,130
44472844,27904,2020-12-01 00:00:00,727.5567,130
44472845,27904,2021-01-01 00:00:00,730.3008,130
44472846,27904,2021-02-01 00:00:00,733.0416,130
44472847,27904,2021-03-01 00:00:00,735.829,130
44472848,27904,2021-04-01 00:00:00,738.6957,130
44472849,27904,2021-05-01 00:00:00,741.4208,130
44472850,27904,2021-06-01 00:00:00,744.1904,130
44472851,27904,2021-07-01 00:00:00,746.9,130
44472852,27904,2021-08-01 00:00:00,749.7552,130
44472853,27904,2021-09-01 00:00:00,752.5651,130
44472854,27904,2021-10-01 00:00:00,755.1919,130
44472855,27904,2021-11-01 00:00:00,757.8868,130
44472856,27904,2021-12-01 00:00:00,760.4515,130
44472857,27904,2022-01-01 00:00:00,765.0336,130
44472858,27904,2022-02-01 00:00:00,769.8811,130
44472859,27904,2022-03-01 00:00:00,774.682,130
44472860,27904,2022-04-01 00:00:00,779.2609,130
44472861,27904,2022-05-01 00:00:00,715.8696,130
44472862,27904,2022-06-01 00:00:00,652.4691,130
44472863,27904,2022-07-01 00:00:00,589.1568,130
44472864,27904,2022-08-01 00:00:00,525.7391,130
44472865,27904,2022-09-01 00:00:00,462.3372,130
44472866,27904,2022-10-01 00:00:00,398.9864,130
44472867,27904,2022-11-01 00:00:00,335.6757,130
44472868,27904,2022-12-01 00:00:00,272.3913,130
44472869,27904,2023-01-01 00:00:00,204.3916,130
44472870,27904,2023-02-01 00:00:00,136.2273,130
44472871,27904,2023-03-01 00:00:00,68.0629,130
44472872,27904,2023-04-01 00:00:00,0.0,130
44472873,27904,2023-05-01 00:00:00,0.0,130
44472874,27904,2023-06-01 00:00:00,0.0,130
44472875,27904,2023-07-01 00:00:00,0.0,130
44472876,27904,2023-08-01 00:00:00,0.0,130
44471830,27902,2023-08-01 00:00:00,0.0,130
44471831,27902,2023-09-01 00:00:00,0.0,130
44471832,27902,2023-10-01 00:00:00,0.0,130
44471833,27902,2023-11-01 00:00:00,0.0,130
44471834,27902,2023-12-01 00:00:00,0.0,130
44471835,27902,2024-01-01 00:00:00,0.0,130
44471836,27902,2024-02-01 00:00:00,0.0,130
44471837,27902,2024-03-01 00:00:00,0.0,130
44471838,27902,2024-04-01 00:00:00,0.0,130
44471839,27902,2024-05-01 00:00:00,0.0,130
44471840,27902,2024-06-01 00:00:00,0.0,130
44471841,27902,2024-07-01 00:00:00,0.0,130
44471842,27902,2024-08-01 00:00:00,0.0,130
44471843,27902,2024-09-01 00:00:00,0.0,130
44471844,27902,2024-10-01 00:00:00,0.0,130
44471845,27902,2024-11-01 00:00:00,0.0,130
44471846,27902,2024-12-01 00:00:00,0.0,130
44471847,27902,2025-01-01 00:00:00,0.0,130
44471848,27902,2025-02-01 00:00:00,0.0,130
44471849,27902,2025-03-01 00:00:00,0.0,130
44471850,27902,2025-04-01 00:00:00,0.0,130
44471851,27902,2025-05-01 00:00:00,0.0,130
43177824,27364,2019-04-01 00:00:00,381.43152,125
43177754,27363,2020-10-01 00:00:00,2041.8203,125
43177755,27363,2020-09-01 00:00:00,1921.837,125
43177756,27363,2020-08-01 00:00:00,1991.6937,125
43177757,27363,2020-07-01 00:00:00,1933.8904,125
43177758,27363,2020-06-01 00:00:00,1984.3469,125
43177759,27363,2020-05-01 00:00:00,1891.3866,125
43177760,27363,2020-04-01 00:00:00,1829.2837,125
43177761,27363,2020-03-01 00:00:00,2682.4043,125
43177762,27363,2020-02-01 00:00:00,2533.259,125
43177763,27363,2020-01-01 00:00:00,2597.7861,125
43177764,27363,2019-12-01 00:00:00,2419.9697,125
43177765,27363,2019-11-01 00:00:00,2399.9453,125
43177766,27363,2019-10-01 00:00:00,2397.4182,125
43177767,27363,2019-09-01 00:00:00,2254.287,125
43177768,27363,2019-08-01 00:00:00,2340.898,125
43177769,27363,2019-07-01 00:00:00,2268.4253,125
43177770,27363,2019-06-01 00:00:00,2327.6055,125
43177771,27363,2019-05-01 00:00:00,2218.5625,125
43177772,27363,2019-04-01 00:00:00,2147.867,125
43177773,27363,2019-03-01 00:00:00,3146.4119,125
43177774,27363,2019-02-01 00:00:00,2980.3997,125
43177775,27363,2019-01-01 00:00:00,3038.033,125
43177776,27363,2018-12-01 00:00:00,2308.8203,125
43177777,27363,2018-11-01 00:00:00,2296.5984,125
43177778,27363,2018-10-01 00:00:00,2294.1802,125
43177779,27363,2018-09-01 00:00:00,2159.3674,125
43177780,27363,2018-08-01 00:00:00,2237.8582,125
43177781,27363,2018-07-01 00:00:00,2172.9106,125
43177782,27363,2018-06-01 00:00:00,2225.144,125
43177783,27363,2018-05-01 00:00:00,2129.408,125
43177784,27363,2018-04-01 00:00:00,2057.4304,125
43177785,27363,2018-03-01 00:00:00,3013.9375,125
43177786,27363,2018-02-01 00:00:00,2846.3586,125
43177787,27363,2018-01-01 00:00:00,2915.9478,125
43177788,27364,2022-04-01 00:00:00,365.00626,125
43177789,27364,2022-03-01 00:00:00,365.73627,125
43177790,27364,2022-02-01 00:00:00,365.00626,125
43177791,27364,2022-01-01 00:00:00,365.37125,125
43177792,27364,2021-12-01 00:00:00,340.13474,125
43177793,27364,2021-11-01 00:00:00,340.13474,125
43177794,27364,2021-10-01 00:00:00,339.4558,125
43177795,27364,2021-09-01 00:00:00,339.11636,125
43177796,27364,2021-08-01 00:00:00,339.11636,125
43177797,27364,2021-07-01 00:00:00,339.4558,125
43177798,27364,2021-06-01 00:00:00,338.7769,125
43177799,27364,2021-05-01 00:00:00,339.4558,125
43177800,27364,2021-04-01 00:00:00,338.7769,125
43177801,27364,2021-03-01 00:00:00,339.11636,125
43177802,27364,2021-02-01 00:00:00,339.79526,125
43177803,27364,2021-01-01 00:00:00,340.13474,125
43177804,27364,2020-12-01 00:00:00,324.20584,125
43177805,27364,2020-11-01 00:00:00,325.50528,125
43177806,27364,2020-10-01 00:00:00,325.50528,125
43177807,27364,2020-09-01 00:00:00,325.18042,125
43177808,27364,2020-08-01 00:00:00,325.50528,125
43177809,27364,2020-07-01 00:00:00,324.5307,125
43177810,27364,2020-06-01 00:00:00,324.20584,125
43177811,27364,2020-05-01 00:00:00,324.5307,125
43177812,27364,2020-04-01 00:00:00,325.50528,125
43177813,27364,2020-03-01 00:00:00,325.50528,125
43177814,27364,2020-02-01 00:00:00,324.85556,125
43177815,27364,2020-01-01 00:00:00,325.18042,125
43177816,27364,2019-12-01 00:00:00,381.81296,125
43177817,27364,2019-11-01 00:00:00,381.0501,125
43177818,27364,2019-10-01 00:00:00,381.43152,125
43177819,27364,2019-09-01 00:00:00,382.1944,125
43177820,27364,2019-08-01 00:00:00,381.0501,125
43177821,27364,2019-07-01 00:00:00,381.0501,125
43177822,27364,2019-06-01 00:00:00,382.1944,125
43177823,27364,2019-05-01 00:00:00,381.0501,125
43177969,27367,2020-03-01 00:00:00,52.460495,125
43177970,27367,2020-02-01 00:00:00,52.460495,125
43177971,27367,2020-01-01 00:00:00,52.670757,125
43177972,27367,2019-12-01 00:00:00,61.720314,125
43177973,27367,2019-11-01 00:00:00,61.843754,125
43177974,27367,2019-10-01 00:00:00,61.658592,125
43177975,27367,2019-09-01 00:00:00,61.59687,125
43177976,27367,2019-08-01 00:00:00,61.720314,125
